country_code,ggg_rank18
ISL,1
NOR,2
SWE,3
FIN,4
NIC,5
NZL,6
IRL,7
ESP,8
RWA,9
DEU,10
LVA,11
NAM,12
CRI,13
DNK,14
FRA,15
PHL,16
ZAF,17
CHE,18
CAN,19
ALB,20
GBR,21
COL,22
MDA,23
MEX,25
EST,26
BEL,27
BRB,28
BLR,29
ARG,30
CUB,31
BDI,32
LTU,33
AUT,34
PRT,35
SVN,36
URY,37
NLD,38
SRB,39
POL,40
JAM,41
BOL,42
LAO,43
AUS,44
ZMB,45
PAN,46
ZWE,47
ECU,48
BGR,49
BGD,50
LUX,51
CPV,52
USA,53
SGP,54
ROU,55
MOZ,56
CHL,57
HND,58
UKR,59
HRV,60
BHS,61
MDG,62
SVK,63
ISR,64
UGA,65
PER,66
VEN,67
TZA,68
BIH,69
MKD,70
MNE,71
KAZ,72
BWA,73
GEO,74
THA,75
ITA,76
SUR,77
CZE,78
MNG,79
SLV,80
RUS,81
ETH,82
GRC,84
IDN,85
DOM,86
VNM,87
LSO,88
KHM,89
MLT,90
CYP,91
BRA,92
KGZ,93
AZE,94
BRN,95
CMR,96
LBR,97
ARM,98
SEN,99
PRY,100
NPL,101
LKA,102
FJI,103
MYS,104
HUN,105
CHN,106
GHA,107
KOR,108
KEN,109
BLZ,110
SLE,111
IND,112
GTM,113
MMR,114
MUS,115
MWI,116
TLS,117
AGO,118
BEN,119
ARE,120
JPN,121
KWT,122
MDV,123
TUN,124
GIN,125
NGA,128
BFA,129
TUR,130
BTN,131
DZA,132
BHR,133
EGY,134
QAT,135
GMB,136
TJK,137
JOR,138
MLI,139
TGO,140
MRT,141
CIV,142
MAR,143
OMN,144
LBN,145
SAU,146
TCD,147
IRN,148
COD,149
SYR,150
PAK,151
IRQ,152
YEM,153
GUY,
SWZ,
TTO,
UZB,